class_index,class_name,source_train,classifier_train,classifier_val,detector_train,detector_calibration,official_val
49,05778_Plantae_Rhodophyta_Florideophyceae_Gigartinales_Gigartinaceae_Chondracanthus_exasperatus,300,255,10,30,5,10
50,05779_Plantae_Rhodophyta_Florideophyceae_Gigartinales_Gigartinaceae_Chondrus_crispus,192,147,10,30,5,10
51,05780_Plantae_Rhodophyta_Florideophyceae_Gigartinales_Phyllophoraceae_Mastocarpus_papillatus,300,255,10,30,5,10
52,05781_Plantae_Rhodophyta_Florideophyceae_Palmariales_Palmariaceae_Halosaccion_glandiforme,300,255,10,30,5,10
53,05782_Plantae_Tracheophyta_Cycadopsida_Cycadales_Zamiaceae_Zamia_integrifolia,217,172,10,30,5,10
54,05783_Plantae_Tracheophyta_Gnetopsida_Ephedrales_Ephedraceae_Ephedra_trifurca,195,150,10,30,5,10
55,05784_Plantae_Tracheophyta_Gnetopsida_Ephedrales_Ephedraceae_Ephedra_viridis,207,162,10,30,5,10
56,05785_Plantae_Tracheophyta_Liliopsida_Acorales_Acoraceae_Acorus_calamus,182,137,10,30,5,10
57,05786_Plantae_Tracheophyta_Liliopsida_Alismatales_Alismataceae_Alisma_plantago-aquatica,300,255,10,30,5,10
58,05787_Plantae_Tracheophyta_Liliopsida_Alismatales_Alismataceae_Alisma_triviale,237,192,10,30,5,10
59,05788_Plantae_Tracheophyta_Liliopsida_Alismatales_Alismataceae_Sagittaria_lancifolia,287,242,10,30,5,10
60,05789_Plantae_Tracheophyta_Liliopsida_Alismatales_Alismataceae_Sagittaria_latifolia,300,255,10,30,5,10
61,05790_Plantae_Tracheophyta_Liliopsida_Alismatales_Alismataceae_Sagittaria_sagittifolia,300,255,10,30,5,10
62,05791_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Alocasia_odora,300,255,10,30,5,10
63,05792_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Arisaema_dracontium,300,255,10,30,5,10
64,05793_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Arisaema_triphyllum,300,255,10,30,5,10
65,05794_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Arum_italicum,300,255,10,30,5,10
66,05795_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Arum_maculatum,300,255,10,30,5,10
67,05796_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Calla_palustris,300,255,10,30,5,10
68,05797_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Colocasia_esculenta,300,255,10,30,5,10
69,05798_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Epipremnum_aureum,277,232,10,30,5,10
70,05799_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Lemna_minor,300,255,10,30,5,10
71,05800_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Lemna_trisulca,185,140,10,30,5,10
72,05801_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Lysichiton_americanus,300,255,10,30,5,10
73,05802_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Monstera_deliciosa,223,178,10,30,5,10
74,05803_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Orontium_aquaticum,205,160,10,30,5,10
75,05804_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Peltandra_virginica,300,255,10,30,5,10
76,05805_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Pistia_stratiotes,300,255,10,30,5,10
77,05806_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Spirodela_polyrhiza,300,255,10,30,5,10
78,05807_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Symplocarpus_foetidus,300,255,10,30,5,10
79,05808_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Syngonium_podophyllum,174,129,10,30,5,10
80,05809_Plantae_Tracheophyta_Liliopsida_Alismatales_Araceae_Zantedeschia_aethiopica,300,255,10,30,5,10
81,05810_Plantae_Tracheophyta_Liliopsida_Alismatales_Butomaceae_Butomus_umbellatus,300,255,10,30,5,10
82,05811_Plantae_Tracheophyta_Liliopsida_Alismatales_Hydrocharitaceae_Elodea_canadensis,300,255,10,30,5,10
83,05812_Plantae_Tracheophyta_Liliopsida_Alismatales_Hydrocharitaceae_Hydrocharis_morsus-ranae,300,255,10,30,5,10
84,05813_Plantae_Tracheophyta_Liliopsida_Alismatales_Hydrocharitaceae_Stratiotes_aloides,191,146,10,30,5,10
85,05814_Plantae_Tracheophyta_Liliopsida_Alismatales_Juncaginaceae_Triglochin_maritima,300,255,10,30,5,10
86,05815_Plantae_Tracheophyta_Liliopsida_Alismatales_Potamogetonaceae_Potamogeton_crispus,300,255,10,30,5,10
87,05816_Plantae_Tracheophyta_Liliopsida_Alismatales_Potamogetonaceae_Potamogeton_natans,288,243,10,30,5,10
88,05817_Plantae_Tracheophyta_Liliopsida_Alismatales_Potamogetonaceae_Potamogeton_nodosus,177,132,10,30,5,10
89,05818_Plantae_Tracheophyta_Liliopsida_Alismatales_Potamogetonaceae_Potamogeton_perfoliatus,159,114,10,30,5,10
90,05819_Plantae_Tracheophyta_Liliopsida_Alismatales_Scheuchzeriaceae_Scheuchzeria_palustris,241,196,10,30,5,10
91,05820_Plantae_Tracheophyta_Liliopsida_Alismatales_Tofieldiaceae_Triantha_glutinosa,270,225,10,30,5,10
92,05821_Plantae_Tracheophyta_Liliopsida_Alismatales_Zosteraceae_Phyllospadix_torreyi,300,255,10,30,5,10
93,05822_Plantae_Tracheophyta_Liliopsida_Alismatales_Zosteraceae_Zostera_marina,300,255,10,30,5,10
94,05823_Plantae_Tracheophyta_Liliopsida_Arecales_Arecaceae_Chamaerops_humilis,211,166,10,30,5,10
95,05824_Plantae_Tracheophyta_Liliopsida_Arecales_Arecaceae_Cocos_nucifera,300,255,10,30,5,10
96,05825_Plantae_Tracheophyta_Liliopsida_Arecales_Arecaceae_Phoenix_canariensis,300,255,10,30,5,10
97,05826_Plantae_Tracheophyta_Liliopsida_Arecales_Arecaceae_Phoenix_dactylifera,157,112,10,30,5,10
98,05827_Plantae_Tracheophyta_Liliopsida_Arecales_Arecaceae_Phoenix_reclinata,157,112,10,30,5,10
99,05828_Plantae_Tracheophyta_Liliopsida_Arecales_Arecaceae_Rhopalostylis_sapida,300,255,10,30,5,10
100,05829_Plantae_Tracheophyta_Liliopsida_Arecales_Arecaceae_Sabal_minor,300,255,10,30,5,10
101,05830_Plantae_Tracheophyta_Liliopsida_Arecales_Arecaceae_Sabal_palmetto,300,255,10,30,5,10
102,05831_Plantae_Tracheophyta_Liliopsida_Arecales_Arecaceae_Serenoa_repens,300,255,10,30,5,10
103,05832_Plantae_Tracheophyta_Liliopsida_Arecales_Arecaceae_Washingtonia_filifera,300,255,10,30,5,10
104,05833_Plantae_Tracheophyta_Liliopsida_Arecales_Arecaceae_Washingtonia_robusta,300,255,10,30,5,10
105,05834_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Agapanthus_praecox,300,255,10,30,5,10
106,05835_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Allium_acuminatum,221,176,10,30,5,10
107,05836_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Allium_canadense,300,255,10,30,5,10
108,05837_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Allium_cernuum,300,255,10,30,5,10
109,05838_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Allium_drummondii,300,255,10,30,5,10
110,05839_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Allium_neapolitanum,176,131,10,30,5,10
111,05840_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Allium_oleraceum,194,149,10,30,5,10
112,05841_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Allium_schoenoprasum,300,255,10,30,5,10
113,05842_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Allium_stellatum,189,144,10,30,5,10
114,05843_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Allium_tricoccum,300,255,10,30,5,10
115,05844_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Allium_triquetrum,300,255,10,30,5,10
116,05845_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Allium_ursinum,300,255,10,30,5,10
117,05846_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Allium_vineale,300,255,10,30,5,10
118,05847_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Amaryllis_belladonna,300,255,10,30,5,10
119,05848_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Boophone_disticha,300,255,10,30,5,10
120,05849_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Brunsvigia_orientalis,265,220,10,30,5,10
121,05850_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Crinum_americanum,250,205,10,30,5,10
122,05851_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Crinum_asiaticum,155,110,10,30,5,10
123,05852_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Galanthus_nivalis,300,255,10,30,5,10
124,05853_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Habranthus_tubispathus,183,138,10,30,5,10
125,05854_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Haemanthus_coccineus,227,182,10,30,5,10
126,05855_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Haemanthus_sanguineus,269,224,10,30,5,10
127,05856_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Hymenocallis_liriosme,192,147,10,30,5,10
128,05857_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Hymenocallis_littoralis,169,124,10,30,5,10
129,05858_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Ipheion_uniflorum,216,171,10,30,5,10
130,05859_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Leucojum_aestivum,275,230,10,30,5,10
131,05860_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Leucojum_vernum,213,168,10,30,5,10
132,05861_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Lycoris_radiata,286,241,10,30,5,10
133,05862_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Narcissus_poeticus,208,163,10,30,5,10
134,05863_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Narcissus_pseudonarcissus,240,195,10,30,5,10
135,05864_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Narcissus_tazetta,162,117,10,30,5,10
136,05865_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Nothoscordum_bivalve,300,255,10,30,5,10
137,05866_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Pancratium_maritimum,300,255,10,30,5,10
138,05867_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Scadoxus_puniceus,183,138,10,30,5,10
139,05868_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Zephyranthes_atamasco,300,255,10,30,5,10
140,05869_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Zephyranthes_chlorosolen,300,255,10,30,5,10
141,05870_Plantae_Tracheophyta_Liliopsida_Asparagales_Amaryllidaceae_Zephyranthes_drummondii,300,255,10,30,5,10
142,05871_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Agave_americana,300,255,10,30,5,10
143,05872_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Agave_deserti,300,255,10,30,5,10
144,05873_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Agave_lechuguilla,300,255,10,30,5,10
145,05874_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Agave_parryi,300,255,10,30,5,10
146,05875_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Agave_salmiana,300,255,10,30,5,10
147,05876_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Agave_shawii,300,255,10,30,5,10
148,05877_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Agave_utahensis,191,146,10,30,5,10
149,05878_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Asparagus_acutifolius,166,121,10,30,5,10
150,05879_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Asparagus_aethiopicus,240,195,10,30,5,10
151,05880_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Asparagus_asparagoides,300,255,10,30,5,10
152,05881_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Asparagus_officinalis,300,255,10,30,5,10
153,05882_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Asparagus_scandens,300,255,10,30,5,10
154,05883_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Bloomeria_crocea,300,255,10,30,5,10
155,05884_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Brodiaea_elegans,300,255,10,30,5,10
156,05885_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Brodiaea_terrestris,200,155,10,30,5,10
157,05886_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Camassia_leichtlinii,237,192,10,30,5,10
158,05887_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Camassia_quamash,300,255,10,30,5,10
159,05888_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Camassia_scilloides,300,255,10,30,5,10
160,05889_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Chlorogalum_pomeridianum,300,255,10,30,5,10
161,05890_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Convallaria_majalis,300,255,10,30,5,10
162,05891_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Cordyline_australis,300,255,10,30,5,10
163,05892_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Cordyline_fruticosa,300,255,10,30,5,10
164,05893_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Dasylirion_texanum,171,126,10,30,5,10
165,05894_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Dasylirion_wheeleri,300,255,10,30,5,10
166,05895_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Dichelostemma_capitatum,300,255,10,30,5,10
167,05896_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Dichelostemma_congestum,300,255,10,30,5,10
168,05897_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Dichelostemma_volubile,180,135,10,30,5,10
169,05898_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Hesperocallis_undulata,300,255,10,30,5,10
170,05899_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Hesperoyucca_whipplei,300,255,10,30,5,10
171,05900_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Hyacinthoides_hispanica,182,137,10,30,5,10
172,05901_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Hyacinthoides_non-scripta,300,255,10,30,5,10
173,05902_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Leopoldia_comosa,300,255,10,30,5,10
174,05903_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Leucocrinum_montanum,300,255,10,30,5,10
175,05904_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Liriope_muscari,153,108,10,30,5,10
176,05905_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Maianthemum_bifolium,300,255,10,30,5,10
177,05906_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Maianthemum_canadense,300,255,10,30,5,10
178,05907_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Maianthemum_dilatatum,300,255,10,30,5,10
179,05908_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Maianthemum_racemosum,300,255,10,30,5,10
180,05909_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Maianthemum_stellatum,300,255,10,30,5,10
181,05910_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Maianthemum_trifolium,298,253,10,30,5,10
182,05911_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Manfreda_virginica,182,137,10,30,5,10
183,05912_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Milla_biflora,291,246,10,30,5,10
184,05913_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Muilla_maritima,300,255,10,30,5,10
185,05914_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Muscari_armeniacum,192,147,10,30,5,10
186,05915_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Muscari_botryoides,157,112,10,30,5,10
187,05916_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Muscari_neglectum,300,255,10,30,5,10
188,05917_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Nolina_parryi,300,255,10,30,5,10
189,05918_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Nolina_texana,157,112,10,30,5,10
190,05919_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Ornithogalum_umbellatum,300,255,10,30,5,10
191,05920_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Polygonatum_biflorum,300,255,10,30,5,10
192,05921_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Polygonatum_multiflorum,300,255,10,30,5,10
193,05922_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Polygonatum_odoratum,300,255,10,30,5,10
194,05923_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Polygonatum_pubescens,300,255,10,30,5,10
195,05924_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Prospero_autumnale,153,108,10,30,5,10
196,05925_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Ruscus_aculeatus,300,255,10,30,5,10
197,05926_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Scilla_bifolia,241,196,10,30,5,10
198,05927_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Scilla_forbesii,157,112,10,30,5,10
199,05928_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Scilla_siberica,300,255,10,30,5,10
200,05929_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Triteleia_grandiflora,216,171,10,30,5,10
201,05930_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Triteleia_hyacinthina,300,255,10,30,5,10
202,05931_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Triteleia_ixioides,300,255,10,30,5,10
203,05932_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Triteleia_laxa,300,255,10,30,5,10
204,05933_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Yucca_arkansana,155,110,10,30,5,10
205,05934_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Yucca_baccata,300,255,10,30,5,10
206,05935_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Yucca_brevifolia,300,255,10,30,5,10
207,05936_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Yucca_elata,300,255,10,30,5,10
208,05937_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Yucca_filamentosa,300,255,10,30,5,10
209,05938_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Yucca_filifera,282,237,10,30,5,10
210,05939_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Yucca_glauca,300,255,10,30,5,10
211,05940_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Yucca_pallida,244,199,10,30,5,10
212,05941_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Yucca_rupicola,300,255,10,30,5,10
213,05942_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Yucca_schidigera,300,255,10,30,5,10
214,05943_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Yucca_treculeana,300,255,10,30,5,10
215,05944_Plantae_Tracheophyta_Liliopsida_Asparagales_Asphodelaceae_Aloe_arborescens,300,255,10,30,5,10
216,05945_Plantae_Tracheophyta_Liliopsida_Asparagales_Asphodelaceae_Aloe_ferox,300,255,10,30,5,10
217,05946_Plantae_Tracheophyta_Liliopsida_Asparagales_Asphodelaceae_Aloe_vera,274,229,10,30,5,10
218,05947_Plantae_Tracheophyta_Liliopsida_Asparagales_Asphodelaceae_Asphodelus_fistulosus,300,255,10,30,5,10
219,05948_Plantae_Tracheophyta_Liliopsida_Asparagales_Asphodelaceae_Asphodelus_ramosus,204,159,10,30,5,10
220,05949_Plantae_Tracheophyta_Liliopsida_Asparagales_Asphodelaceae_Dianella_nigra,209,164,10,30,5,10
221,05950_Plantae_Tracheophyta_Liliopsida_Asparagales_Asphodelaceae_Hemerocallis_fulva,300,255,10,30,5,10
